Country,Product_Group_Use,SalesRep_Code,yearmonth,Product_MTD,UserKey_4Map,Product_QTD,Product_Total_MTD,Product_Total_QTD,Product_Max_MTD,Product_Max_QTD,Product_Percent_MTD,Product_Percent_QTD,Manager_Id
TW,XYZAL,BJY2,2024-08-01,105151.0,TW_BJY2,332715.0,919800.0,1957434.0,504506.0,889640.0,0.2084236857440744,0.3739883548401601,0055h000006NBt3AAG
TW,LAMICT,BJY2,2024-08-01,103267.0,TW_BJY2,329410.0,919800.0,1957434.0,504506.0,889640.0,0.2046893396708859,0.3702733690031923,0055h000006NBt3AAG
TW,NICOTI,BJY2,2024-08-01,111769.0,TW_BJY2,175728.0,919800.0,1957434.0,504506.0,889640.0,0.2215414682877904,0.1975270896092801,0055h000006NBt3AAG
TW,WELLBU,BJY2,2024-08-01,44000.0,TW_BJY2,117581.0,919800.0,1957434.0,504506.0,889640.0,0.0872140271869908,0.1321669439323771,0055h000006NBt3AAG
TW,REQUIP,BJY2,2024-08-01,49390.0,TW_BJY2,108325.0,919800.0,1957434.0,504506.0,889640.0,0.0978977455173972,0.1217627354885122,0055h000006NBt3AAG
TW,IMIGRA,BJY2,2024-08-01,760.0,TW_BJY2,2710.0,919800.0,1957434.0,504506.0,889640.0,0.0015064241059571,0.0030461759812958,0055h000006NBt3AAG
TW,SEROXA,BJY2,2024-08-01,957.0,TW_BJY2,1325.0,919800.0,1957434.0,504506.0,889640.0,0.001896905091317,0.0014893664853199,0055h000006NBt3AAG
TW,VALCYT,BJY1,2024-08-01,549400.0,TW_BJY1,1197907.0,1123557.0,2903842.0,549400.0,1197907.0,1.0,1.0,0055h000006NBt3AAG
TW,LAMICT,BJY1,2024-08-01,86251.0,TW_BJY1,456533.0,1123557.0,2903842.0,549400.0,1197907.0,0.156991263196214,0.3811088840786472,0055h000006NBt3AAG
TW,XYZAL,BJY1,2024-08-01,171472.0,TW_BJY1,439779.0,1123557.0,2903842.0,549400.0,1197907.0,0.31210775391336,0.3671228233911314,0055h000006NBt3AAG
TW,NICOTI,BJY1,2024-08-01,126596.0,TW_BJY1,316529.0,1123557.0,2903842.0,549400.0,1197907.0,0.2304259191845649,0.2642350366096867,0055h000006NBt3AAG
