Country,SalesRep_Code,UserKey_4Map
ID,MRBDDP01,ID_MR_MRBDDP01
ID,MRBDDP02,ID_MR_MRBDDP02
ID,MRDPALZ1,ID_MR_MRDPALZ1
ID,MRDPJA01,ID_MR_MRDPJA01
ID,MRJKDP03,ID_MR_MRJKDP03
ID,MRJKDP04,ID_MR_MRJKDP04
ID,MRJKJA05,ID_MR_MRJKJA05
ID,MRSBCKX01,ID_MR_MRSBCKX01
ID,MRSBAL02,ID_MR_MRSBAL02
ID,MRBGDP01,ID_MR_MRBGDP01
ID,MRJKAB02,ID_MR_MRJKAB02
ID,MRJKDP01,ID_MR_MRJKDP01
ID,MRJKDP05,ID_MR_MRJKDP05
ID,MRMKDP01,ID_MR_MRMKDP01
ID,MRYOJA01,ID_MR_MRYOJA01
ID,MRBTCKX01,ID_MR_MRBTCKX01
ID,MRPJKAB01,ID_MR_MRPJKAB01
ID,MRSBCM1XX,ID_MR_MRSBCM1XX
ID,MRJKALZ1,ID_MR_MRJKALZ1
ID,MRJKJA04,ID_MR_MRJKJA04
ID,MRSBDP01,ID_MR_MRSBDP01
ID,MRJKPCX1,ID_MR_MRJKPCX1
ID,MRJKRX02,ID_MR_MRJKRX02
ID,MRMDJA01,ID_MR_MRMDJA01
ID,MRJKRX03,ID_MR_MRJKRX03
ID,MRPBDP01,ID_MR_MRPBDP01
ID,MRTGDP01,ID_MR_MRTGDP01
ID,MRYOAL01,ID_MR_MRYOAL01
ID,MRJKPCX2,ID_MR_MRJKPCX2
ID,MRJKDP02,ID_MR_MRJKDP02
ID,MRSBJA02,ID_MR_MRSBJA02
ID,MRMLDP01,ID_MR_MRMLDP01
ID,MRJKCY02,ID_MR_MRJKCY02
ID,MRJKAL08,ID_MR_MRJKAL08
ID,MRSMDP01,ID_MR_MRSMDP01
ID,MRPKCKX01,ID_MR_MRPKCKX01
ID,MRSBJAXX,ID_MR_MRSBJAXX
ID,MRJKCY01,ID_MR_MRJKCY01
ID,MRTGCKX03,ID_MR_MRTGCKX03
ID,MRJKCM1XX,ID_MR_MRJKCM1XX
ID,MRMKCKX01,ID_MR_MRMKCKX01
ID,MRJKCV18,ID_MR_MRJKCV18
ID,MRMDRE01,ID_MR_MRMDRE01
ID,MRJKCV11,ID_MR_MRJKCV11
ID,MRJKVMX1,ID_MR_MRJKVMX1
ID,MRSBNK03,ID_MR_MRSBNK03
ID,MRSKBME36,ID_MR_MRSKBME36
ID,MRYORE02,ID_MR_MRYORE02
ID,MRJKRE08,ID_MR_MRJKRE08
ID,MRPTRE01,ID_MR_MRPTRE01
ID,MRBDRE03,ID_MR_MRBDRE03
ID,MRSBAL01,ID_MR_MRSBAL01
ID,MRJKAB03,ID_MR_MRJKAB03
ID,MRSDCKX01,ID_MR_MRSDCKX01
ID,MRYOAB01,ID_MR_MRYOAB01
ID,MRSMJA01,ID_MR_MRSMJA01
ID,MRJKAL04,ID_MR_MRJKAL04
ID,MRMDAL01,ID_MR_MRMDAL01
ID,MRJKDP06,ID_MR_MRJKDP06
ID,MRYODP01,ID_MR_MRYODP01
ID,MRBDRX01,ID_MR_MRBDRX01
ID,MRSMRX01,ID_MR_MRSMRX01
ID,MRDPCKX01,ID_MR_MRDPCKX01
ID,MRDPAL02,ID_MR_MRDPAL02
ID,MRJKOL06,ID_MR_MRJKOL06
ID,MRJKJA03,ID_MR_MRJKJA03
ID,MRBDJA01,ID_MR_MRBDJA01
ID,MRSBRX01,ID_MR_MRSBRX01
ID,MRJKDP07,ID_MR_MRJKDP07
ID,MRPBAB01,ID_MR_MRPBAB01
ID,MRMDCKX02,ID_MR_MRMDCKX02
ID,MRSBJA01,ID_MR_MRSBJA01
ID,MRMLAB01,ID_MR_MRMLAB01
ID,MRBKAB01,ID_MR_MRBKAB01
ID,MRDPAB01,ID_MR_MRDPAB01
ID,MRTGAB01,ID_MR_MRTGAB01
ID,MRJKRX01,ID_MR_MRJKRX01
ID,MRJKNS02,ID_MR_MRJKNS02
ID,MRJKOB01,ID_MR_MRJKOB01
ID,MRJKD113,ID_MR_MRJKD113
ID,MRBDDC03,ID_MR_MRBDDC03
ID,MRMDD101,ID_MR_MRMDD101
ID,MRJKNS01,ID_MR_MRJKNS01
ID,MRBGDC02,ID_MR_MRBGDC02
ID,MRDPNS01,ID_MR_MRDPNS01
ID,MRMDD201,ID_MR_MRMDD201
ID,MRJKOB05,ID_MR_MRJKOB05
ID,MRSBNS01,ID_MR_MRSBNS01
ID,MRJKD105,ID_MR_MRJKD105
ID,MRSOD201,ID_MR_MRSOD201
ID,MRJKNS07,ID_MR_MRJKNS07
ID,MRDPD202,ID_MR_MRDPD202
ID,MRSMOB01,ID_MR_MRSMOB01
ID,MRYONS01,ID_MR_MRYONS01
ID,MRJKD108,ID_MR_MRJKD108
ID,MRJKNS03,ID_MR_MRJKNS03
ID,MRJKD114,ID_MR_MRJKD114
ID,MRJKNS05,ID_MR_MRJKNS05
ID,MRSMNS01,ID_MR_MRSMNS01
ID,MRSMDC02,ID_MR_MRSMDC02
ID,MRBDDC02,ID_MR_MRBDDC02
ID,MRPTDC01,ID_MR_MRPTDC01
ID,MRYOD202,ID_MR_MRYOD202
ID,MRDPNS02,ID_MR_MRDPNS02
ID,MRDPD201,ID_MR_MRDPD201
ID,MRSMDC01,ID_MR_MRSMDC01
ID,MRYOD201,ID_MR_MRYOD201
ID,MRSBD102,ID_MR_MRSBD102
ID,MRTGD204,ID_MR_MRTGD204
ID,MRBADC02,ID_MR_MRBADC02
ID,MRMDDC01,ID_MR_MRMDDC01
ID,MRJKD103,ID_MR_MRJKD103
ID,MRYOOL01,ID_MR_MRYOOL01
ID,MRJKD115,ID_MR_MRJKD115
ID,MRSMDC03,ID_MR_MRSMDC03
ID,MRSBNS02,ID_MR_MRSBNS02
ID,MRBDOL01,ID_MR_MRBDOL01
ID,MRPDDC01,ID_MR_MRPDDC01
ID,MRJKJA01,ID_MR_MRJKJA01
ID,MRTANSX2,ID_MR_MRTANSX2
ID,MRTLDC01,ID_MR_MRTLDC01
ID,MRJKNS06,ID_MR_MRJKNS06
ID,MRBDNS01,ID_MR_MRBDNS01
ID,MRPWDC01,ID_MR_MRPWDC01
ID,MRMLD202,ID_MR_MRMLD202
ID,MRJKD203,ID_MR_MRJKD203
ID,MRMKD101,ID_MR_MRMKD101
ID,MRSBD202,ID_MR_MRSBD202
ID,MRMDD202,ID_MR_MRMDD202
ID,MRMAD201,ID_MR_MRMAD201
ID,MRPBDC02,ID_MR_MRPBDC02
ID,MRPKDC02,ID_MR_MRPKDC02
ID,MRJKD102,ID_MR_MRJKD102
ID,MRMKD201,ID_MR_MRMKD201
ID,MRPBDC01,ID_MR_MRPBDC01
ID,MRMDNS01,ID_MR_MRMDNS01
ID,MRJBDC01,ID_MR_MRJBDC01
ID,MRBGCKX01,ID_MR_MRBGCKX01
ID,MRPKCKX02,ID_MR_MRPKCKX02
ID,MRJKCK05,ID_MR_MRJKCK05
ID,MRJKGW2XX,ID_MR_MRJKGW2XX
ID,MRJKNK03,ID_MR_MRJKNK03
ID,MRMLCKX02,ID_MR_MRMLCKX02
ID,MRJKCK07,ID_MR_MRJKCK07
ID,MRJKNK05,ID_MR_MRJKNK05
ID,MRJKCK06,ID_MR_MRJKCK06
ID,MRJKCN01,ID_MR_MRJKCN01
ID,MRJKNK02,ID_MR_MRJKNK02
ID,MRJKCK01,ID_MR_MRJKCK01
ID,MRJKCK04,ID_MR_MRJKCK04
ID,MRPTCKX01,ID_MR_MRPTCKX01
ID,MRSMCN02,ID_MR_MRSMCN02
ID,MRMLCKX01,ID_MR_MRMLCKX01
ID,MRJKCK02,ID_MR_MRJKCK02
ID,MRSOCKX01,ID_MR_MRSOCKX01
ID,MRSBGW1XX,ID_MR_MRSBGW1XX
ID,MRPBCKX01,ID_MR_MRPBCKX01
ID,MRJKCM2XX,ID_MR_MRJKCM2XX
ID,MRTGCKX02,ID_MR_MRTGCKX02
ID,MRJKCK03,ID_MR_MRJKCK03
ID,MRBDCM1XX,ID_MR_MRBDCM1XX
ID,MRJKOB04,ID_MR_MRJKOB04
ID,MRYOCN01,ID_MR_MRYOCN01
ID,MRSBOB02,ID_MR_MRSBOB02
ID,MRJKCKX01,ID_MR_MRJKCKX01
ID,MRSMCN01,ID_MR_MRSMCN01
