Country,SalesRep_Code,salesrepemployeeid_z,yearmonth,MTD Sales,MTD Target,UserKey_4Map,Column1
ID,MRJKD1Z1,,2024-07-01,143466788.0,0.0,ID_MR_MRJKD1Z1,-143466788.0
PH,HAKNATL,,2024-07-01,167502.01,0.0,PH_HAKNATL,-167502.01
TH,993,,2024-08-01,10279.5,0.0,TH_993,-10279.5
MY,E2PS,,2024-07-01,114374.42,0.0,MY_MR_E2PS,-114374.42
TH,739,,2024-07-01,2203664.2,0.0,TH_739,-2203664.2
ID,OSTGGJX1,,2024-07-01,490839815.0,0.0,ID_MR_OSTGGJX1,-490839815.0
MY,P13PS,,2024-08-01,18802.0,0.0,MY_MR_P13PS,-18802.0
MY,E3PS,,2024-08-01,44030.090000000004,0.0,MY_MR_E3PS,-44030.090000000004
MY,E9PS,,2024-08-01,64276.0,0.0,MY_MR_E9PS,-64276.0
MY,E109,,2024-07-01,0.0,0.0,MY_MR_E109,0.0
TH,EB0,,2024-08-01,468600.0,0.0,TH_EB0,-468600.0
ID,MRJKD1Z1,,2024-08-01,45592467.0,0.0,ID_MR_MRJKD1Z1,-45592467.0
MY,E7PS,,2024-08-01,13517.599999999999,0.0,MY_MR_E7PS,-13517.599999999999
ID,MRJKD2Z1,,2024-07-01,13714329.0,0.0,ID_MR_MRJKD2Z1,-13714329.0
ID,MRJKD2Z1,,2024-08-01,11433160.0,0.0,ID_MR_MRJKD2Z1,-11433160.0
MY,E2PS,,2024-08-01,19311.95,0.0,MY_MR_E2PS,-19311.95
TW,XXBU6,,2024-07-01,57859.0,0.0,TW_XXBU6,-57859.0
TH,960,,2024-08-01,265968.0,0.0,TH_960,-265968.0
TH,EO8,,2024-07-01,1695000.0,0.0,TH_EO8,-1695000.0
SG,GSK,,2024-07-01,115941.04,0.0,SG_MR_GSK,-115941.04
TW,BBBUM,,2024-07-01,10477.0,0.0,TW_BBBUM,-10477.0
TW,XXBU1,,2024-08-01,0.0,0.0,TW_XXBU1,0.0
ID,MRHODBX1,,2024-08-01,801802.0,0.0,ID_MR_MRHODBX1,-801802.0
MY,E4PS,,2024-08-01,314170.0,0.0,MY_MR_E4PS,-314170.0
TH,PC0,,2024-08-01,0.0,0.0,TH_PC0,0.0
TH,739,,2024-08-01,47780.0,0.0,TH_739,-47780.0
TH,EO8,,2024-08-01,225000.0,0.0,TH_EO8,-225000.0
TH,EK1,,2024-07-01,6000.0,0.0,TH_EK1,-6000.0
TH,EE0,,2024-08-01,54750.0,0.0,TH_EE0,-54750.0
TH,VAZ,,2024-08-01,12858.0,0.0,TH_VAZ,-12858.0
ID,OSTGGJX1,,2024-08-01,137876737.0,0.0,ID_MR_OSTGGJX1,-137876737.0
TH,VAZ,,2024-07-01,1005.0,0.0,TH_VAZ,-1005.0
ID,MRBPNAL01,,2024-07-01,14465910.0,0.0,ID_MR_MRBPNAL01,-14465910.0
TH,960,,2024-07-01,46080.0,0.0,TH_960,-46080.0
PH,RH_HA,,2024-07-01,54466.64,0.0,PH_RH_HA,-54466.64
SG,ESS9,,2024-07-01,203000.0,0.0,SG_MR_ESS9,-203000.0
SG,T305,,2024-07-01,0.0,0.0,SG_MR_T305,0.0
MY,E303,kirsten.sim,2024-07-01,69202.30000000003,0.0,MY_MR_E303,-69202.30000000003
MY,E303,kirsten.sim,2024-08-01,22631.37,0.0,MY_MR_E303,-22631.37
MY,E301,YFVoon,2024-07-01,39514.72000000001,0.0,MY_MR_E301,-39514.72000000001
MY,E304,yong.sheng,2024-07-01,187593.3,0.0,MY_MR_E304,-187593.3
MY,E305,mtwong,2024-07-01,31537.859999999993,0.0,MY_MR_E305,-31537.859999999993
MY,E310,kent.lim;vivian.lee,2024-07-01,57862.3,0.0,MY_MR_E310,-57862.3
MY,E302,nurul.diyana,2024-07-01,111787.79000000002,0.0,MY_MR_E302,-111787.79000000002
MY,P13S,alvin.poh;ctlee;tankh,2024-08-01,92672.0,0.0,MY_MR_P13S,-92672.0
MY,P13S,alvin.poh;ctlee;tankh,2024-07-01,117288.0,0.0,MY_MR_P13S,-117288.0
MY,K006,tliew,2024-08-01,7198.580000000002,0.0,MY_MR_K006,-7198.580000000002
