Country,Product_Group_Use,SalesRep_Code,yearmonth,MTD Sales,UserKey_4Map
TH,GIMMIC,991,2024-07-01,0.0,TH_991
TH,GIMMIC,947,2024-07-01,0.0,TH_947
TH,GIMMIC,891,2024-07-01,0.0,TH_891
TH,GIMMIC,504,2024-07-01,0.0,TH_504
TH,GIMMIC,773,2024-07-01,0.0,TH_773
TH,GIMMIC,070,2024-07-01,0.0,TH_070
TH,GIMMIC,EG0,2024-07-01,0.0,TH_EG0
TH,GIMMIC,984,2024-07-01,0.0,TH_984
TH,GIMMIC,512,2024-07-01,0.0,TH_512
TH,GIMMIC,059,2024-07-01,0.0,TH_059
TH,GIMMIC,769,2024-07-01,0.0,TH_769
TH,GIMMIC,513,2024-07-01,0.0,TH_513
TH,GIMMIC,871,2024-07-01,0.0,TH_871
TH,GIMMIC,EEF,2024-07-01,0.0,TH_EEF
TH,GIMMIC,058,2024-07-01,0.0,TH_058
TH,GIMMIC,731,2024-07-01,0.0,TH_731
TH,GIMMIC,738,2024-07-01,0.0,TH_738
TH,GIMMIC,642,2024-07-01,0.0,TH_642
TH,GIMMIC,051,2024-07-01,0.0,TH_051
TH,GIMMIC,977,2024-07-01,0.0,TH_977
TH,GIMMIC,735,2024-07-01,0.0,TH_735
TH,GIMMIC,975,2024-07-01,0.0,TH_975
TH,GIMMIC,862,2024-07-01,0.0,TH_862
TH,GIMMIC,647,2024-07-01,0.0,TH_647
TH,GIMMIC,516,2024-07-01,0.0,TH_516
TH,GIMMIC,517,2024-07-01,0.0,TH_517
TH,GIMMIC,945,2024-07-01,0.0,TH_945
TH,GIMMIC,653,2024-07-01,0.0,TH_653
TH,GIMMIC,500,2024-07-01,0.0,TH_500
TH,GIMMIC,832,2024-07-01,0.0,TH_832
TH,GIMMIC,971,2024-07-01,0.0,TH_971
TH,GIMMIC,514,2024-07-01,0.0,TH_514
TH,GIMMIC,649,2024-07-01,0.0,TH_649
TH,GIMMIC,505,2024-07-01,0.0,TH_505
TH,GIMMIC,974,2024-07-01,0.0,TH_974
TH,ZZZCCC,660,2024-07-01,0.0,TH_660
TH,ZZZCCC,664,2024-07-01,0.0,TH_664
TH,ZZZCCC,671,2024-07-01,0.0,TH_671
TH,ZZZCCC,670,2024-07-01,0.0,TH_670
TH,ZZZCCC,663,2024-07-01,0.0,TH_663
TH,ZZZCCC,673,2024-07-01,0.0,TH_673
TH,ZZZCCC,667,2024-07-01,0.0,TH_667
TH,ZZZCCC,672,2024-07-01,0.0,TH_672
TH,ZZZCCC,731,2024-07-01,0.0,TH_731
TH,ZZZCCC,652,2024-07-01,0.0,TH_652
TH,ZZZCCC,653,2024-07-01,0.0,TH_653
TH,ZZZCCC,640,2024-07-01,0.0,TH_640
TH,ZZZCCC,654,2024-07-01,0.0,TH_654
